loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_start_date,loan_end_date,loan_status
LN700850,CUST101022,auto loan,12905.78,4.72,2020-07-27,2027-07-27,Defaulted
LN700890,CUST101330,Student Loan,17389.75,5.75,10-Nov-2015,10.11.2032,Paid Off
LN701124,CUST101772,MORTGAGE,295430.72,6.21,25/07/2018,25/07/2038,Paid Off
LN700530,CUST101267,Student Loan,37300.62,1.8,03/07/2015,2028-07-03,Active
LN700574,CUST100154,PERSONAL LOAN,24700.51,7.18,27.06.2013,27.06.2029,Defaulted
LN700839,CUST101564,Car Loan,16722.42,10.39,2022-11-02,2040-11-02,Defaulted
LN701116,CUST100149,Home Loan,369081.05,4.9,2012-05-07,05-07-2033,Paid Off
LN700564,CUST102320,STUDENT LOAN,41902.17,5.37,2023-11-15,15-Nov-2040,Active
LN701183,CUST100393,personal loan,20017.35,13.5,30.12.2013,30/12/2018,Paid Off
LN700500,CUST100866,Home Loan,224620.93,5.21,04/03/2012,04-Mar-2037,Active
LN701206,CUST101819,Mortgage,422905.69,2.64,19/12/2014,12-19-2031,Closed
LN701224,CUST100813,Student Loan,23292.92,99.9,13-Jul-2017,2040-07-13,Active
LN700997,CUST101291,auto loan,31874.76,7.65,27/06/2022,27.06.2040,Active
LN700901,CUST102507,Student Loan,53663.1,5.99,2017-10-12,10-12-2026,Active
LN700616,CUST100043,PERSONAL LOAN,13628.53,5.01,2022-10-16,16-Oct-2029,Closed
LN700854,CUST101168,Auto Loan,23507.73,7.68,2019-09-17,17-Sep-2024,Paid Off
LN700679,CUST100604,student loan,49497.46,2.16,16/05/2016,05-16-2037,Closed
LN700856,CUST102296,Personal Loan,6097.42,8.22,12/08/2016,12-Aug-2018,Active
LN700499,CUST100718,student loan,54639.37,5.03,01/01/2021,01-01-2032,Defaulted
LN701240,CUST101190,MORTGAGE,348325.44,3.76,03.04.2019,03/04/2040,Active
LN701058,CUST101265,student loan,46286.71,6.86,16-Dec-2020,2024-12-16,Paid Off
LN700270,CUST101971,Mortgage,212819.75,2.62,09-17-2012,17-Sep-2013,Active
LN700644,CUST100523,PERSONAL LOAN,23412.21,12.32,27.11.2014,11-27-2022,Paid Off
LN700527,CUST101820,personal loan,21143.96,6.26,02-19-2014,2030-02-19,Paid Off
LN700086,CUST101476,Car Loan,16080.3,9.21,28-Apr-2011,28.04.2033,Paid Off
LN701006,CUST100362,Mortgage,109945.36,3.18,01.07.2021,2035-07-01,Paid Off
LN700181,CUST102817,Personal Loan,7738.16,17.37,17-Feb-2013,17-Feb-2031,Closed
LN701248,CUST100613,Personal Loan,7052.64,11.35,08-Jul-2021,07-08-2033,Active
LN701122,CUST103031,MORTGAGE,175884.73,2.95,10-31-2014,31-Oct-2023,
LN700146,CUST100000,auto loan,9688.75,4.83,30-Dec-2021,30-Dec-2035,Defaulted
LN700629,CUST102673,personal loan,4112.79,5.22,08/12/2021,08-Dec-2036,Paid Off
LN701106,CUST100717,student loan,26834.66,3.48,29-Jun-2013,29.06.2020,Paid Off
LN700123,CUST102900,student loan,37104.89,3.74,18-Feb-2017,18/02/2018,Defaulted
LN700422,CUST102270,auto loan,39640.05,5.76,08-29-2021,29-Aug-2026,Active
LN701184,CUST101198,Student Loan,12204.11,3.92,2017-01-08,01-08-2035,Closed
LN700158,CUST102388,MORTGAGE,203695.54,3.88,27.10.2016,27/10/2019,
LN700833,CUST101175,Auto Loan,21386.64,7.47,19/12/2016,12-19-2019,Paid Off
LN701024,CUST100410,Home Loan,221700.99,4.82,04-Sep-2020,2040-09-04,Closed
LN701039,CUST102341,student loan,55107.73,5.46,15-Nov-2017,15-Nov-2018,Closed
LN701040,CUST102370,mortgage,192497.17,3.88,25/01/2021,25.01.2036,
LN700241,CUST100001,Auto Loan,12047.53,5.32,22-May-2011,22/05/2027,Closed
LN701218,CUST102073,mortgage,204581.5,5.81,26.06.2013,2028-06-26,Active
LN700633,CUST102230,Auto Loan,27704.52,7.64,11.02.2021,02-11-2022,Defaulted
LN701011,CUST100217,STUDENT LOAN,18933.0,2.62,10-23-2011,23.10.2018,Defaulted
LN700771,CUST102931,Personal,12066.98,8.27,02.08.2016,02/08/2022,Defaulted
LN700351,CUST102145,auto loan,15054.35,7.97,25.10.2016,2033-10-25,
LN700403,CUST100131,personal loan,20468.05,14.06,07-31-2019,2040-07-31,Defaulted
LN701107,CUST100369,MORTGAGE,342969.29,2.62,12.01.2010,01-12-2030,Active
LN700354,CUST101457,MORTGAGE,324543.68,4.98,11-27-2017,27/11/2027,Active
LN700036,CUST101789,STUDENT LOAN,51224.53,4.19,02-05-2010,2020-02-05,Closed
LN700699,CUST100547,auto loan,14506.52,9.0,21.08.2017,21.08.2020,Active
LN700796,CUST102102,PERSONAL LOAN,6237.83,14.43,11-08-2014,11-08-2026,Defaulted
LN700188,CUST100616,Personal,3707.2,10.24,22/03/2016,22.03.2034,Closed
LN700862,CUST101797,Mortgage,101523.97,4.48,2019-02-06,2040-02-06,Closed
LN700711,CUST103053,STUDENT LOAN,19819.22,2.66,04-04-2023,04.04.2040,
LN701153,CUST101663,student loan,50151.83,2.84,10/12/2019,10-Dec-2033,Closed
LN700103,CUST100032,Home Loan,421042.42,4.81,10-25-2018,25-Oct-2028,Active
LN700052,CUST101690,AUTO LOAN,26956.11,11.51,06.08.2018,08-06-2019,Closed
LN700659,CUST100153,MORTGAGE,313963.27,5.98,18/06/2019,18/06/2040,Paid Off
LN700880,CUST102346,Mortgage,217298.44,5.94,09-20-2016,20/09/2028,Active
LN700674,CUST100893,Personal,9915.64,14.86,23.05.2023,23-May-2028,Closed
LN700447,CUST101145,personal loan,18532.04,7.07,06.03.2010,2023-03-06,Defaulted
LN700114,CUST102402,Mortgage,171847.16,5.55,27-Aug-2022,27/08/2040,Active
LN700548,CUST102396,personal loan,7932.51,17.84,31-Dec-2011,31.12.2021,Paid Off
LN700470,CUST101363,Personal Loan,4456.61,5.79,04-22-2016,22.04.2039,Paid Off
LN700810,CUST101118,Mortgage,284425.0,2.94,18/11/2010,2030-11-18,Active
LN700328,CUST100702,Mortgage,264307.47,6.3,01-21-2014,21.01.2032,Active
LN700035,CUST102595,Home Loan,108249.35,5.22,05-Jul-2023,07-05-2032,Active
LN701090,CUST100627,Personal,10528.17,12.68,02-12-2015,12-Feb-2030,Defaulted
LN700246,CUST102569,Student Loan,20772.96,2.51,15-Oct-2018,2023-10-15,Paid Off
LN700125,CUST101647,Home Loan,406742.14,4.6,2014-12-22,2023-12-22,Paid Off
LN700995,CUST101455,MORTGAGE,270657.15,3.13,06-Jul-2021,06.07.2040,
LN701025,CUST102585,Home Loan,435571.92,3.19,04-24-2023,04-24-2034,Active
LN700969,CUST102221,AUTO LOAN,24563.65,6.5,2013-10-15,2037-10-15,Closed
LN700476,CUST102844,Auto Loan,26219.88,4.05,31.10.2011,31.10.2026,Closed
LN700722,CUST101089,auto loan,32063.11,4.68,17/03/2012,17/03/2014,Paid Off
LN700639,CUST102622,Mortgage,174764.91,5.19,03-21-2022,2029-03-21,
LN700259,CUST100720,student loan,50782.38,2.88,01-Feb-2020,01-Feb-2036,Closed
LN700197,CUST102557,Personal Loan,18948.85,17.89,10/11/2014,10.11.2018,Paid Off
LN700818,CUST103088,auto loan,15756.42,10.25,15/07/2019,15/07/2037,Closed
LN700485,CUST101594,Car Loan,29952.81,10.72,22/01/2010,22-Jan-2012,Paid Off
LN701010,CUST102243,personal loan,4624.4,13.85,2012-01-21,21/01/2026,Closed
LN701111,CUST101932,STUDENT LOAN,9228.63,6.85,2011-05-01,2023-05-01,Closed
LN700227,CUST100378,Personal,24482.77,14.3,02/11/2016,02-Nov-2032,Paid Off
LN700742,CUST100208,auto loan,6888.65,8.98,2018-01-24,24.01.2023,Paid Off
LN700239,CUST102096,Mortgage,357982.38,2.75,2023-07-28,28.07.2040,Paid Off
LN700776,CUST103020,STUDENT LOAN,45879.15,6.45,08.11.2011,11-08-2025,Closed
LN701091,CUST100332,Home Loan,249334.22,5.76,20.07.2018,20.07.2019,Closed
LN700276,CUST103044,STUDENT LOAN,35796.15,5.36,15.09.2015,15-Sep-2028,Defaulted
LN701249,CUST100366,PERSONAL LOAN,14578.2,9.57,12-12-2014,12-12-2032,Paid Off
LN701140,CUST102013,personal loan,1116.71,12.61,07-05-2023,05.07.2040,Defaulted
LN700206,CUST102687,PERSONAL LOAN,12045.78,16.7,03.10.2019,03-Oct-2033,Active
LN701105,CUST102155,Auto Loan,27350.7,8.34,08.06.2010,08-Jun-2013,Paid Off
LN700392,CUST102159,STUDENT LOAN,43479.68,1.76,2023-02-17,02-17-2038,Defaulted
LN700357,CUST101808,Student Loan,34731.78,4.34,31-Jan-2016,31/01/2030,Closed
LN700420,CUST102944,AUTO LOAN,11421.77,10.96,2019-08-15,15/08/2026,Defaulted
LN700544,CUST102300,STUDENT LOAN,17539.42,5.42,01-12-2015,01-12-2023,Closed
LN700305,CUST101403,auto loan,4893.62,4.58,2016-08-16,16.08.2021,Paid Off
LN700224,CUST101419,auto loan,24244.41,5.29,09/02/2022,09/02/2040,Active
LN700202,CUST101040,Car Loan,35326.6,7.53,02-11-2022,11.02.2040,Defaulted
LN701181,CUST102856,Mortgage,348892.09,2.91,13.02.2012,13/02/2028,Paid Off
LN701191,CUST100448,STUDENT LOAN,39164.35,2.05,05-21-2014,21-May-2028,Defaulted
LN700930,CUST103028,PERSONAL LOAN,9865.83,6.14,10-17-2016,10-17-2034,
LN700212,CUST102600,MORTGAGE,128997.85,5.2,29/09/2019,09-29-2026,Active
LN701223,CUST102888,Student Loan,50738.83,6.59,21.06.2010,21/06/2027,Defaulted
LN701204,CUST101507,auto loan,7804.18,10.91,20-Dec-2011,20-Dec-2030,Closed
LN700194,CUST102419,Home Loan,138699.32,3.57,2022-07-24,24/07/2023,Paid Off
LN701230,CUST100913,PERSONAL LOAN,14187.67,16.46,03-08-2020,08.03.2037,Defaulted
LN700790,CUST100583,MORTGAGE,262939.45,5.65,08-23-2022,23.08.2040,Active
LN700155,CUST102606,mortgage,426600.1,6.08,31-Jan-2012,31/01/2036,Active
LN701138,CUST101200,Personal,6593.91,7.18,19-Jan-2017,01-19-2040,Closed
LN700247,CUST101936,Car Loan,11080.07,11.51,01-Dec-2016,2022-12-01,Paid Off
LN700077,CUST101154,Student Loan,58078.3,2.57,11-Aug-2010,11.08.2012,Closed
LN700319,CUST101961,mortgage,158497.81,3.14,14.11.2021,14-Nov-2035,Paid Off
LN700883,CUST101638,personal loan,1183.21,17.54,09.03.2023,2033-03-09,Active
LN700767,CUST103065,Personal Loan,16053.96,10.59,28-Feb-2011,2031-02-28,Closed
LN700230,CUST100434,PERSONAL LOAN,17339.01,12.37,12.04.2016,12.04.2036,Defaulted
LN700641,CUST100139,Student Loan,22991.85,1.6,05-03-2022,2038-05-03,Closed
LN700291,CUST101994,AUTO LOAN,22866.08,5.73,08-May-2013,08.05.2022,Closed
LN700892,CUST101535,student loan,10566.36,2.2,06/12/2014,06-Dec-2016,Active
LN700205,CUST100134,Auto Loan,28812.82,6.76,20/02/2010,20.02.2035,Active
LN700822,CUST102348,Student Loan,37812.48,5.84,2016-08-25,25/08/2030,Active
LN700457,CUST100313,Personal,11927.09,17.8,22-Feb-2010,02-22-2028,Defaulted
LN700026,CUST100489,Car Loan,27936.25,8.75,19/04/2012,19-Apr-2026,Closed
LN701096,CUST100125,Student Loan,13303.91,1.63,28/04/2011,28-Apr-2023,Defaulted
LN700980,CUST102409,Mortgage,247246.47,5.11,31/08/2010,2024-08-31,Paid Off
LN700825,CUST101494,Auto Loan,26396.25,8.89,03/12/2017,12-03-2037,Paid Off
LN700053,CUST101008,PERSONAL LOAN,13141.75,6.99,08/07/2014,08.07.2019,Closed
LN701065,CUST102442,personal loan,19720.84,0.0,2010-11-26,26-Nov-2029,Defaulted
LN700602,CUST101276,Student Loan,29266.38,5.4,2017-08-20,08-20-2040,Paid Off
LN700033,CUST100819,MORTGAGE,374469.61,6.47,04-14-2014,14.04.2030,Active
LN700068,CUST101677,STUDENT LOAN,14738.7,3.4,2013-08-13,13/08/2021,Closed
LN700940,CUST100602,Home Loan,244359.94,2.6,28/05/2012,28.05.2025,Paid Off
LN700452,CUST101096,Personal,18065.55,12.78,11-03-2016,03/11/2018,Closed
LN700921,CUST101063,Student Loan,15965.82,4.07,27-Nov-2018,11-27-2040,Paid Off
LN700832,CUST101576,student loan,59894.15,6.25,09/10/2011,09.10.2016,Defaulted
LN700817,CUST100006,auto loan,20931.17,11.82,08/08/2018,08-Aug-2026,Active
LN700005,CUST102875,mortgage,347628.54,5.26,08-22-2010,2033-08-22,Paid Off
LN700777,CUST101733,student loan,54456.43,1.8,12/04/2016,2021-04-12,Active
LN700876,CUST103147,Student Loan,27570.65,6.44,05.11.2019,05/11/2040,Paid Off
LN700455,CUST100553,student loan,57170.91,6.48,2018-09-03,03-Sep-2035,Closed
LN701220,CUST103139,PERSONAL LOAN,18958.63,17.26,04-May-2010,2030-05-04,Active
LN700458,CUST100193,AUTO LOAN,34701.27,0.0,20/06/2017,20/06/2040,Defaulted
LN701238,CUST102390,STUDENT LOAN,28000.21,3.63,22/09/2019,22/09/2039,Closed
LN700852,CUST102263,Personal,15099.42,13.26,22/08/2019,22-Aug-2020,Defaulted
LN700943,CUST101943,Personal Loan,21519.5,11.34,10/02/2017,2020-02-10,Paid Off
LN700533,CUST100476,Personal,3402.34,8.75,2022-07-25,25/07/2024,Closed
LN700271,CUST100219,Home Loan,166384.6,2.52,16-Jul-2014,2023-07-16,Closed
LN700977,CUST100571,Student Loan,30237.64,2.38,25/07/2022,07-25-2040,
LN701061,CUST100653,Home Loan,370059.92,5.81,27.05.2020,2027-05-27,Active
LN700827,CUST102526,Personal,13573.4,13.55,17/05/2020,05-17-2025,Closed
LN700714,CUST100168,AUTO LOAN,11006.45,7.54,2018-04-03,03.04.2038,Paid Off
LN700584,CUST101695,STUDENT LOAN,29324.6,5.12,02.07.2011,2024-07-02,Defaulted
LN700591,CUST102100,personal loan,2925.43,9.52,13/06/2023,13.06.2040,Defaulted
LN700453,CUST102340,Personal Loan,1246.21,10.69,11-Nov-2014,11.11.2029,Paid Off
LN701063,CUST100275,Personal Loan,17818.94,11.05,07-17-2021,17.07.2028,Defaulted
LN700555,CUST100054,student loan,29502.35,4.66,06-17-2013,06-17-2014,Defaulted
LN700494,CUST100132,Student Loan,10910.82,2.18,11-Apr-2022,11-Apr-2040,Defaulted
LN700251,CUST102352,mortgage,152204.79,4.36,07-13-2014,13.07.2022,Defaulted
LN700786,CUST101035,Home Loan,267889.08,3.21,2021-06-25,25.06.2031,Active
LN700870,CUST100875,PERSONAL LOAN,24046.08,17.38,12-May-2018,12-May-2029,Defaulted
LN701162,CUST101243,auto loan,9201.49,5.38,07.01.2016,2039-01-07,Closed
LN701144,CUST102491,Car Loan,21608.07,4.24,11-05-2017,05-Nov-2031,Active
LN700435,CUST101340,Personal Loan,7856.97,12.64,16-May-2020,16-May-2029,Defaulted
LN700900,CUST100867,Personal,8043.09,16.55,25.07.2017,07-25-2034,Closed
LN700898,CUST101718,Home Loan,218700.91,3.62,2014-04-19,19.04.2036,Active
LN700654,CUST102566,personal loan,24458.73,6.13,07/03/2020,07.03.2038,Defaulted
LN701172,CUST100815,STUDENT LOAN,11573.26,4.05,02/03/2018,02.03.2040,Defaulted
LN700746,CUST100077,STUDENT LOAN,33554.93,3.26,22/08/2020,22/08/2032,Defaulted
LN700595,CUST100697,auto loan,32154.38,10.55,06-15-2022,15.06.2030,Defaulted
LN700449,CUST100534,Auto Loan,19202.68,8.44,07-Jun-2013,07.06.2020,
LN700522,CUST100814,PERSONAL LOAN,6355.05,5.48,26/11/2012,11-26-2025,Closed
LN700861,CUST102517,PERSONAL LOAN,22046.46,14.89,04.02.2022,04.02.2040,Defaulted
LN700429,CUST101213,student loan,13188.35,1.62,2018-08-20,20-Aug-2033,Closed
LN700749,CUST102495,student loan,9675.33,4.01,16.08.2011,16.08.2019,Paid Off
LN700256,CUST101910,Mortgage,283979.99,99.9,26/01/2015,26/01/2031,Active
LN700219,CUST102639,student loan,13347.99,5.85,2013-06-15,06-15-2016,Active
LN700366,CUST102895,Mortgage,246011.65,4.42,31/01/2020,01-31-2026,Defaulted
LN701242,CUST100107,STUDENT LOAN,36694.57,3.1,10-14-2022,14-Oct-2027,Defaulted
LN700657,CUST102877,student loan,20064.37,3.07,12-10-2014,10/12/2034,Defaulted
LN700515,CUST102801,Student Loan,46608.19,5.07,26-Jan-2023,26.01.2040,Closed
LN700287,CUST103058,Personal,1352.11,15.38,06-Dec-2012,12-06-2021,Closed
LN700469,CUST103141,auto loan,33937.87,5.76,03-13-2016,13/03/2026,Active
LN700791,CUST102773,Mortgage,441390.5,5.72,24.02.2015,24-Feb-2023,Paid Off
LN700556,CUST101892,Mortgage,162562.32,3.56,09-12-2012,12.09.2028,Closed
LN700606,CUST102405,Student Loan,35694.23,2.08,25-Jun-2019,06-25-2039,Paid Off
LN700167,CUST101337,Personal Loan,12014.75,12.59,2018-12-27,12-27-2020,Paid Off
LN701141,CUST101420,Mortgage,177764.25,6.08,05.12.2016,05/12/2017,Defaulted
LN700651,CUST102131,STUDENT LOAN,15213.19,5.1,2012-04-17,04-17-2019,
LN701174,CUST100667,mortgage,341731.73,4.47,2020-03-28,03-28-2022,Defaulted
LN700503,CUST102536,MORTGAGE,393212.68,6.16,25-May-2019,05-25-2040,Paid Off
LN700094,CUST102134,Auto Loan,5679.24,9.37,14/06/2013,14/06/2022,Active
LN700439,CUST100264,Mortgage,151467.58,2.82,2013-05-27,05-27-2022,Defaulted
LN700084,CUST101498,MORTGAGE,311055.63,5.64,25/03/2018,25.03.2035,Defaulted
LN700358,CUST101066,Car Loan,37229.82,7.38,2012-04-25,2031-04-25,Paid Off
LN701034,CUST100693,Student Loan,31536.08,6.91,12-27-2011,27.12.2016,Paid Off
LN700828,CUST102513,Student Loan,58212.78,5.88,10-Oct-2014,10.10.2017,Paid Off
LN700945,CUST102411,Personal,14555.85,7.52,2016-10-14,10-14-2018,Active
LN700362,CUST101609,Auto Loan,30059.06,6.81,03/01/2011,03/01/2014,Active
LN701225,CUST102305,personal loan,19434.57,6.85,20/07/2023,20.07.2029,Defaulted
LN700506,CUST100307,PERSONAL LOAN,21480.38,7.08,2017-02-17,17/02/2027,Closed
LN700049,CUST101011,Student Loan,14651.37,3.16,07-03-2012,07-03-2016,Closed
LN700879,CUST101630,Mortgage,307315.9,3.82,28-Feb-2012,02-28-2031,Defaulted
LN700321,CUST101782,Personal Loan,2828.26,8.21,2017-06-15,15/06/2035,Defaulted
LN700446,CUST101822,PERSONAL LOAN,24246.86,17.23,13.05.2019,13-May-2038,Paid Off
LN700028,CUST102081,Student Loan,34136.22,5.14,25-Apr-2013,25.04.2035,
LN700386,CUST101929,MORTGAGE,92192.21,4.07,06-11-2014,06-11-2027,Defaulted
LN700610,CUST102511,Personal,7341.9,13.56,11-29-2013,29/11/2016,Defaulted
LN700379,CUST101656,AUTO LOAN,28041.26,9.37,02-14-2010,14-Feb-2033,Paid Off
LN701079,CUST102280,Car Loan,27469.14,10.31,06/01/2017,06/01/2033,Active
LN700021,CUST101830,STUDENT LOAN,45186.64,3.07,2010-08-04,04/08/2011,Defaulted
LN700885,CUST100151,Home Loan,428962.42,2.55,2010-08-09,09.08.2035,Defaulted
LN701109,CUST102715,Home Loan,138277.32,3.26,13/04/2015,13/04/2031,Closed
LN700380,CUST100164,mortgage,337446.51,4.2,05-20-2017,20/05/2031,Defaulted
LN700159,CUST102948,Personal Loan,18532.82,6.88,2013-09-03,03/09/2037,Active
LN700441,CUST100933,STUDENT LOAN,12152.73,3.39,02.06.2014,2036-06-02,Paid Off
LN700463,CUST102727,AUTO LOAN,16266.03,11.34,07-11-2016,11/07/2040,Paid Off
LN700513,CUST101437,Personal Loan,21080.24,9.97,17.08.2022,17-Aug-2037,Active
LN700510,CUST100983,Student Loan,42099.14,4.36,09-04-2020,04.09.2040,Closed
LN700987,CUST100894,Car Loan,39752.01,6.01,25/09/2015,25/09/2020,Active
LN700587,CUST102293,MORTGAGE,86657.81,4.29,2019-04-21,2034-04-21,Closed
LN700741,CUST100098,student loan,35178.81,2.38,27.08.2018,08-27-2033,Paid Off
LN700116,CUST101460,Student Loan,54127.55,6.65,10/07/2017,10.07.2040,Closed
LN700526,CUST100330,auto loan,7163.08,7.87,06-11-2012,11.06.2035,Paid Off
LN700342,CUST101137,auto loan,32661.15,8.28,06.09.2022,06/09/2030,Defaulted
LN700290,CUST101452,student loan,21528.02,4.28,2014-03-30,30/03/2037,Closed
LN700834,CUST101250,mortgage,257495.9,5.26,14.02.2021,2022-02-14,Closed
LN700377,CUST100594,mortgage,194749.9,3.77,08.09.2010,09-08-2020,Active
LN700072,CUST102591,AUTO LOAN,22074.92,7.51,25-Feb-2011,25.02.2029,Paid Off
LN700689,CUST103008,mortgage,170766.63,3.11,2010-04-12,04-12-2032,Defaulted
LN700175,CUST100429,personal loan,3835.17,11.79,16/04/2020,2026-04-16,Active
LN701029,CUST100734,Home Loan,385149.53,5.32,2018-09-27,2038-09-27,Defaulted
LN700263,CUST101974,Personal,1291.44,12.44,2023-11-22,11-22-2040,Paid Off
LN700340,CUST100562,Home Loan,109775.24,3.03,09-21-2016,21.09.2019,Defaulted
LN700791,CUST102773,Mortgage,441390.5,5.72,24.02.2015,24-Feb-2023,Paid Off
LN700136,CUST102701,student loan,33693.01,5.69,25-Aug-2018,25/08/2040,Active
LN701008,CUST100046,Student Loan,13328.0,4.12,10.11.2011,10-Nov-2015,Paid Off
LN701044,CUST101817,Home Loan,360420.15,6.45,18/12/2011,12-18-2021,Defaulted
LN701217,CUST101209,Auto Loan,27829.85,6.05,24/03/2010,24.03.2025,Active
LN700938,CUST102572,Auto Loan,11849.89,8.77,19/09/2022,19/09/2032,Active
LN700308,CUST100345,Mortgage,294704.21,5.8,10.06.2013,10-Jun-2035,
LN700179,CUST101408,Personal,12126.52,15.23,05-25-2022,25.05.2024,Closed
LN701201,CUST101309,Car Loan,8159.75,6.37,06-29-2013,29/06/2037,Paid Off
LN700024,CUST100347,Personal,5655.57,15.47,08.06.2019,2027-06-08,Defaulted
LN700653,CUST101147,PERSONAL LOAN,5218.11,8.92,23.12.2019,12-23-2024,Paid Off
LN700310,CUST101020,Auto Loan,35649.02,10.97,08-Jun-2015,08.06.2034,Closed
LN700165,CUST102697,STUDENT LOAN,32330.0,4.77,02-07-2012,07.02.2015,Closed
LN700780,CUST102006,Car Loan,6038.6,8.04,24.11.2020,24.11.2024,
LN701083,CUST102310,student loan,48631.55,5.51,2011-10-06,06.10.2022,Closed
LN701235,CUST102226,Car Loan,7955.96,11.73,07/08/2012,07-Aug-2015,Defaulted
LN701207,CUST101431,Student Loan,57170.84,99.9,2023-08-23,2036-08-23,Active
LN700231,CUST100929,STUDENT LOAN,38173.16,3.85,24.01.2022,24/01/2040,Closed
LN700872,CUST100439,PERSONAL LOAN,17882.42,8.16,06.07.2022,07-06-2033,Defaulted
LN701127,CUST100357,Personal,20682.2,9.82,11-28-2018,2034-11-28,Defaulted
LN700636,CUST102431,Student Loan,49419.34,3.36,15-Jun-2016,15.06.2022,Active
LN700348,CUST101245,Mortgage,279411.13,4.87,30.03.2014,30-Mar-2022,Active
LN700490,CUST102228,AUTO LOAN,9164.74,7.46,27.12.2015,2039-12-27,Active
LN701203,CUST102946,mortgage,389762.9,-3.5,03-Jul-2021,07-03-2024,Active
LN700966,CUST101060,STUDENT LOAN,57640.13,6.14,06-27-2014,27.06.2027,Active
LN700979,CUST100181,Home Loan,386362.88,5.6,11-09-2015,09/11/2040,Defaulted
LN700840,CUST101239,Student Loan,20058.83,5.61,13-Apr-2022,2036-04-13,
LN701112,CUST103090,student loan,31928.87,3.01,22.07.2018,22/07/2031,Closed
LN700897,CUST102489,student loan,29886.5,5.79,01-17-2021,01-17-2028,Defaulted
LN700491,CUST100323,Mortgage,306179.29,2.63,24.03.2020,24/03/2026,Defaulted
LN700552,CUST101919,mortgage,88860.52,3.14,02/03/2022,2040-03-02,Paid Off
