complaint_id,customer_id,complaint_date,complaint_category,complaint_status,resolution_days,branch_id
CMP900493,CUST100186,24/07/2021,,Resolved,43,BR1018
CMP900331,CUST100882,23-Jan-2023,Card Issue,Escalated,34,BR1010
CMP900938,CUST101457,2020-05-10,Fraud,In Progress,45,BR1027
CMP900057,CUST100447,15-Dec-2020,Customer Service,Escalated,-4,BR1024
CMP900146,CUST101453,24.08.2019,,In Progress,5,BR1013
CMP900839,CUST100208,29.10.2020,Card Issue,Open,35,BR1001
CMP900073,CUST101632,2026-01-04,Mis-selling,In Progress,13,BR1023
CMP900783,CUST103143,02-15-2026,,Open,31,BR1025
CMP900064,CUST100252,03.06.2024,Mis-selling,Resolved,36,BR1013
CMP900553,CUST102905,23-Jun-2022,,Escalated,21,BR1021
CMP900554,CUST102382,06-05-2023,Fraud,Resolved,44,BR1000
CMP900920,CUST100681,02-Aug-2022,Loan Issue,Resolved,27,BR1012
CMP900023,CUST100831,06.02.2023,Online Banking,In Progress,40,BR1011
CMP900449,CUST100501,17-Apr-2021,Fraud,In Progress,13,BR1001
CMP900670,CUST100832,2021-03-30,Account Closure,In Progress,19,BR1004
CMP900669,CUST101089,2024-10-15,Customer Service,In Progress,30,BR1009
CMP900317,CUST101505,21-Dec-2020,Fees & Charges,Resolved,16,BR1028
CMP900378,CUST100753,22.01.2025,Card Issue,Escalated,8,BR1004
CMP900115,CUST102527,06.01.2020,Fraud,Escalated,3,BR1004
CMP900198,CUST102224,2020-04-11,Account Closure,Escalated,-10,BR1023
CMP900596,CUST102954,08-26-2021,,Open,14,BR1000
CMP900623,CUST102901,28.08.2026,Customer Service,Open,30,BR1024
CMP900874,CUST102309,22/02/2019,Customer Service,Escalated,33,BR1007
CMP900395,CUST102523,31/05/2020,Mis-selling,Open,12,BR1010
CMP900871,CUST102147,09-Jun-2026,Fraud,In Progress,41,BR1022
CMP900668,CUST100589,04/11/2022,Online Banking,Resolved,36,BR1012
CMP900923,CUST102353,16/08/2020,Loan Issue,Escalated,45,BR1029
CMP900358,CUST103074,06.02.2026,Account Closure,In Progress,8,BR1010
CMP900943,CUST100410,10-11-2025,Fees & Charges,In Progress,29,BR1011
CMP900666,CUST100267,05-Aug-2026,Fraud,Escalated,15,BR1006
CMP900592,CUST101989,14.11.2023,Mis-selling,In Progress,24,BR1015
CMP900460,CUST102529,2024-05-14,,In Progress,14,BR1024
CMP900857,CUST101599,2024-06-25,Account Closure,Resolved,9,BR1020
CMP900411,CUST100384,01-Apr-2020,Fraud,Resolved,-10,BR1021
CMP900128,CUST100700,04-12-2020,Fraud,In Progress,31,BR1006
CMP900402,CUST101100,2022-03-23,Fraud,Escalated,20,BR1021
CMP900864,CUST101633,01-03-2025,Customer Service,Resolved,32,BR1016
CMP900728,CUST102790,25.10.2025,Mis-selling,In Progress,9,BR1011
CMP900297,CUST101590,15/10/2021,Account Closure,Resolved,7,BR1022
CMP900033,CUST101153,08-Jan-2025,Card Issue,In Progress,6,BR1031
CMP900902,CUST102612,11-03-2021,Online Banking,In Progress,6,BR1011
CMP900113,CUST101577,24/12/2025,Mis-selling,Open,30,BR1009
CMP900225,CUST100626,28-Dec-2020,Card Issue,Open,11,BR1019
CMP900515,CUST100535,16.07.2023,,Escalated,7,BR1010
CMP900838,CUST101070,16-Oct-2021,Card Issue,Resolved,38,BR1002
CMP900141,CUST100492,08-23-2025,Fees & Charges,Open,41,BR1014
CMP900409,CUST101100,07-19-2022,Loan Issue,Resolved,5,BR1006
CMP900700,CUST102160,2020-11-27,Fraud,In Progress,19,BR1006
CMP900046,CUST102294,22/04/2019,Account Closure,Resolved,16,BR1010
CMP900332,CUST102833,03-22-2022,Fraud,Escalated,27,BR1031
CMP900165,CUST102017,26.07.2022,Card Issue,Resolved,40,BR1017
CMP900797,CUST100297,29-Apr-2023,Loan Issue,In Progress,16,BR1013
CMP900074,CUST102509,2026-10-20,Card Issue,In Progress,8,BR1019
CMP900200,CUST102124,2026-07-28,Account Closure,Open,27,BR1023
CMP900388,CUST101874,26/01/2023,Mis-selling,Resolved,28,BR1015
CMP900328,CUST102389,12.04.2024,Fraud,Resolved,10,BR1008
CMP900896,CUST102667,05/11/2023,Mis-selling,In Progress,10,BR1027
CMP900593,CUST100525,02-Aug-2019,Mis-selling,Resolved,30,BR1013
CMP900702,CUST102458,21.04.2020,Customer Service,In Progress,20,BR1000
CMP900407,CUST101806,04-Nov-2023,Customer Service,Open,-7,BR1004
CMP900058,CUST101973,03-May-2024,Card Issue,Escalated,5,BR1009
CMP900478,CUST101586,08-Nov-2023,Online Banking,Resolved,19,BR1024
CMP900251,CUST102069,18.11.2020,Card Issue,In Progress,20,BR1014
CMP900316,CUST101010,31-Mar-2026,Card Issue,Open,18,BR1012
CMP900601,CUST102253,01/07/2026,Online Banking,In Progress,15,BR1029
CMP900791,CUST100522,01-Feb-2021,Online Banking,Open,37,BR1025
CMP900333,CUST102958,30-Oct-2022,Mis-selling,Escalated,3,BR1013
CMP900359,CUST101726,10.09.2023,Online Banking,Escalated,16,BR1020
CMP900262,CUST102333,06-25-2023,,Escalated,1,BR1007
CMP900399,CUST100902,20/10/2021,Fraud,Escalated,32,BR1005
CMP900168,CUST101765,30-Jul-2020,Fraud,In Progress,25,BR1013
CMP900925,CUST100420,01/11/2025,Customer Service,Resolved,19,BR1005
CMP900893,CUST102224,11-23-2023,Online Banking,Open,-3,BR1029
CMP900275,CUST101763,2025-08-23,Card Issue,Escalated,15,BR1017
CMP900730,CUST100500,29/09/2026,Card Issue,Escalated,11,BR1007
CMP900214,CUST100782,07-12-2023,Account Closure,Open,1,BR1022
CMP900940,CUST102417,2021-10-06,,Open,17,BR1021
CMP900841,CUST102737,30-Jul-2024,Mis-selling,Escalated,3,BR1006
CMP900268,CUST102736,18-Aug-2024,,In Progress,13,BR1011
CMP900256,CUST102796,08/03/2021,Online Banking,In Progress,5,BR1010
CMP900093,CUST100671,2021-01-29,Fees & Charges,Open,25,BR1005
CMP900552,CUST101811,2025-06-03,Loan Issue,Escalated,45,BR1030
CMP900131,CUST103013,10/06/2020,Loan Issue,Open,39,BR1003
CMP900439,CUST102449,2019-06-21,Account Closure,Escalated,34,BR1010
CMP900029,CUST101933,05-Mar-2019,Loan Issue,Escalated,4,BR1026
CMP900298,CUST100784,15-Aug-2019,Customer Service,Resolved,11,BR1022
CMP900422,CUST101558,19/01/2019,Mis-selling,Resolved,45,BR1012
CMP900641,CUST103144,29-Apr-2023,Customer Service,Open,13,BR1007
CMP900350,CUST102817,2022-10-26,Customer Service,Escalated,2,BR1017
CMP900813,CUST101298,09-06-2025,Online Banking,Resolved,-10,BR1031
CMP900216,CUST100468,2020-04-27,Account Closure,In Progress,19,BR1031
CMP900132,CUST102365,2026-03-28,Mis-selling,Escalated,22,BR1003
CMP900643,CUST102294,22/04/2026,Fees & Charges,Resolved,2,BR1003
CMP900015,CUST102732,03-29-2023,Customer Service,Resolved,29,BR1025
CMP900160,CUST101855,05-Dec-2019,Fraud,Escalated,36,BR1005
CMP900854,CUST100385,2025-01-01,,Resolved,44,BR1012
CMP900660,CUST100740,24-Dec-2024,,Open,22,BR1005
CMP900735,CUST101613,25/04/2019,Account Closure,Escalated,37,BR1004
CMP900099,CUST100912,2025-10-23,Customer Service,Resolved,43,BR1012
CMP900511,CUST100967,17-Jul-2019,Fees & Charges,Escalated,34,BR1029
CMP900260,CUST100816,18-Jun-2025,Fees & Charges,Open,30,BR1012
CMP900688,CUST101413,2020-10-23,Online Banking,Escalated,33,BR1014
CMP900800,CUST101963,09.09.2021,Fees & Charges,In Progress,26,BR1029
CMP900512,CUST102030,01-15-2024,Online Banking,Open,26,BR1015
CMP900480,CUST100649,2024-01-11,Mis-selling,Escalated,44,BR1016
CMP900698,CUST101734,26.10.2024,Card Issue,In Progress,1,BR1017
CMP900908,CUST102916,2019-10-20,Mis-selling,Resolved,2,BR1009
CMP900672,CUST101831,10-Nov-2025,Fees & Charges,Open,30,BR1003
CMP900079,CUST101405,2026-09-23,Account Closure,In Progress,31,BR1000
CMP900549,CUST102259,21-May-2026,,Open,29,BR1027
CMP900589,CUST101521,11-12-2020,Fees & Charges,In Progress,26,BR1025
CMP900693,CUST101691,05-Dec-2022,Fraud,Open,16,BR1014
CMP900404,CUST102673,19-Apr-2024,Fraud,Resolved,-7,BR1009
CMP900705,CUST101214,10.10.2022,Card Issue,Escalated,37,BR1009
CMP900327,CUST101818,10-27-2021,,Escalated,45,BR1026
CMP900514,CUST103118,26.12.2022,Fees & Charges,Resolved,9,BR1025
CMP900321,CUST101850,06-17-2025,Mis-selling,Open,16,BR1021
CMP900031,CUST102207,2023-11-15,Account Closure,Open,41,BR1005
CMP900574,CUST100703,13.09.2025,Loan Issue,Escalated,33,BR1018
CMP900914,CUST100123,22.05.2021,Customer Service,Open,39,BR1028
CMP900080,CUST102897,2019-12-23,Customer Service,Escalated,11,BR1007
CMP900275,CUST101763,2025-08-23,Card Issue,Escalated,15,BR1017
CMP900533,CUST102329,23-Oct-2023,,Open,1,BR1002
CMP900506,CUST100961,2019-11-11,Fraud,Resolved,18,BR1009
CMP900362,CUST101885,01/08/2022,Card Issue,Resolved,4,BR1014
CMP900163,CUST100790,21/12/2020,Loan Issue,In Progress,27,BR1019
CMP900890,CUST100613,21-Jun-2025,Fraud,Resolved,7,BR1015
CMP900810,CUST100710,12-Jul-2023,Customer Service,Escalated,42,BR1001
CMP900203,CUST103135,24/04/2023,Customer Service,In Progress,37,BR1030
CMP900468,CUST100074,11-May-2020,Fees & Charges,Escalated,27,BR1013
CMP900351,CUST101678,15-Aug-2025,,In Progress,11,BR1002
CMP900778,CUST102682,16-Mar-2024,Fraud,Resolved,38,BR1023
CMP900575,CUST102270,04.12.2019,Fees & Charges,Escalated,22,BR1002
CMP900583,CUST100188,19/11/2026,Loan Issue,Resolved,6,BR1013
CMP900540,CUST102082,2026-07-23,Fraud,Resolved,-8,BR1010
CMP900400,CUST103142,04-Aug-2021,Fraud,Resolved,33,BR1027
CMP900880,CUST102083,2021-04-30,Card Issue,Escalated,11,BR1027
CMP900083,CUST103016,2024-08-14,Loan Issue,In Progress,36,BR1006
CMP900571,CUST101324,15.02.2026,Fraud,Resolved,31,BR1022
CMP900599,CUST103000,2024-04-11,Customer Service,Resolved,27,BR1031
CMP900065,CUST101487,06.09.2020,Account Closure,Open,27,BR1019
CMP900387,CUST101728,15-Dec-2019,Account Closure,Resolved,10,BR1017
CMP900072,CUST102795,17/06/2026,Loan Issue,Resolved,3,BR1021
CMP900300,CUST101728,10.03.2024,Fraud,In Progress,38,BR1018
CMP900322,CUST100127,09/02/2026,Loan Issue,In Progress,23,BR1025
CMP900429,CUST102856,2023-12-10,Card Issue,In Progress,13,BR1025
CMP900949,CUST101683,14.07.2024,Fraud,Escalated,34,BR1027
CMP900903,CUST101519,10-13-2024,Customer Service,Open,24,BR1014
CMP900347,CUST101750,01-25-2022,Fraud,Open,22,BR1000
CMP900695,CUST100870,03.11.2019,Account Closure,Open,31,BR1023
CMP900936,CUST101403,22/12/2024,Online Banking,Escalated,38,BR1003
CMP900419,CUST102927,30/12/2023,Fraud,Open,4,BR1021
CMP900550,CUST101522,07-May-2020,Loan Issue,In Progress,34,BR1014
CMP900363,CUST102635,14.06.2019,Mis-selling,In Progress,45,BR1007
CMP900069,CUST100911,06.08.2023,,Escalated,4,BR1000
CMP900858,CUST100474,12/05/2023,Account Closure,Open,45,BR1019
CMP900869,CUST101192,11-04-2024,Account Closure,Resolved,10,BR1009
CMP900444,CUST102883,2026-01-20,Mis-selling,Resolved,23,BR1030
CMP900484,CUST103088,27-Mar-2025,Account Closure,Resolved,9,BR1013
CMP900156,CUST101460,2021-04-14,Customer Service,In Progress,1,BR1023
CMP900258,CUST101767,06-06-2021,Mis-selling,Resolved,32,BR1019
CMP900541,CUST102872,30/07/2019,Customer Service,Escalated,24,BR1023
CMP900228,CUST101556,2022-05-05,Customer Service,Open,28,BR1030
CMP900272,CUST100920,01.10.2023,Customer Service,Resolved,43,BR1027
CMP900474,CUST100770,10.09.2024,Online Banking,In Progress,38,BR1012
CMP900608,CUST100114,23-Dec-2025,Customer Service,Open,12,BR1011
CMP900078,CUST100957,31/08/2019,Mis-selling,Escalated,21,BR1009
CMP900234,CUST100985,2025-01-10,Online Banking,Resolved,19,BR1005
CMP900722,CUST100091,03-07-2023,Loan Issue,In Progress,6,BR1022
CMP900465,CUST103029,12/04/2023,Card Issue,In Progress,24,BR1021
CMP900551,CUST100029,12-16-2021,Fraud,Resolved,2,BR1030
CMP900204,CUST101104,17/01/2019,Fees & Charges,Resolved,23,BR1015
CMP900144,CUST103029,01/11/2020,Card Issue,Resolved,20,BR1027
CMP900863,CUST102619,18.11.2019,Online Banking,In Progress,-4,BR1009
CMP900039,CUST102194,28.04.2019,Card Issue,Escalated,22,BR1021
CMP900844,CUST101682,2025-04-24,Card Issue,Resolved,16,BR1006
CMP900826,CUST101679,2026-02-14,Fraud,Escalated,39,BR1006
CMP900663,CUST101483,29-Nov-2019,Account Closure,Open,5,BR1008
CMP900067,CUST103126,29.05.2019,Account Closure,Resolved,26,BR1020
CMP900302,CUST101886,12-16-2021,Fraud,In Progress,5,BR1000
CMP900277,CUST101852,22/03/2022,Customer Service,Open,35,BR1004
CMP900237,CUST100317,2021-08-23,Online Banking,Resolved,43,BR1020
CMP900427,CUST101541,11-Jul-2022,Fraud,Open,45,BR1000
CMP900606,CUST102903,24-Jan-2026,Customer Service,Escalated,34,BR1004
CMP900024,CUST102638,06-12-2019,Fees & Charges,Escalated,29,BR1007
CMP900820,CUST102436,2024-08-19,Fees & Charges,Escalated,6,BR1028
CMP900781,CUST102450,26-Jul-2025,Customer Service,Escalated,27,BR1005
CMP900770,CUST100705,04-Nov-2026,Account Closure,Resolved,1,BR1008
CMP900767,CUST101008,20/09/2025,Customer Service,In Progress,6,BR1011
CMP900383,CUST102190,10-11-2021,Account Closure,Resolved,9,BR1014
CMP900396,CUST102188,06-25-2021,Loan Issue,Open,32,BR1031
CMP900750,CUST102380,16-Jul-2025,Loan Issue,Open,13,BR1010
CMP900749,CUST100095,22-Jan-2023,Mis-selling,Resolved,30,BR1024
CMP900909,CUST100250,19/12/2023,Fees & Charges,Resolved,-5,BR1003
CMP900651,CUST100690,13.10.2026,Card Issue,Resolved,5,BR1007
CMP900175,CUST102179,11-08-2022,Mis-selling,Open,24,BR1026
CMP900004,CUST102898,01-07-2023,Fees & Charges,Escalated,3,BR1004
CMP900137,CUST101340,12-05-2021,Online Banking,In Progress,42,BR1022
CMP900206,CUST100827,08-19-2024,Fees & Charges,In Progress,38,BR1030
CMP900878,CUST102448,12/05/2021,Card Issue,Open,42,BR1023
CMP900301,CUST102303,08-Oct-2025,Card Issue,Escalated,-10,BR1020
CMP900309,CUST100673,21-Sep-2021,Fraud,In Progress,13,BR1019
CMP900036,CUST102756,23.05.2020,,In Progress,35,BR1026
CMP900092,CUST101501,13-Oct-2025,Fees & Charges,Resolved,34,BR1014
CMP900129,CUST102051,2026-11-29,Loan Issue,In Progress,-6,BR1025
CMP900545,CUST102477,14.06.2024,Fraud,Open,13,BR1000
CMP900279,CUST102211,08-12-2021,Card Issue,In Progress,41,BR1019
CMP900824,CUST102778,2024-08-19,Account Closure,Open,13,BR1005
CMP900648,CUST100468,02/07/2021,Mis-selling,In Progress,16,BR1027
CMP900366,CUST101624,05-Mar-2019,Loan Issue,Resolved,5,BR1021
CMP900509,CUST100647,11-29-2021,Fraud,Open,24,BR1016
CMP900502,CUST101528,12/12/2025,Loan Issue,Escalated,44,BR1001
CMP900346,CUST100454,08-10-2026,Mis-selling,Resolved,16,BR1003
CMP900586,CUST103129,07-May-2019,Fraud,In Progress,25,BR1017
CMP900581,CUST101715,2021-12-25,Loan Issue,In Progress,44,BR1026
CMP900020,CUST100887,23/08/2026,Loan Issue,Escalated,29,BR1024
CMP900508,CUST100874,12-20-2020,Loan Issue,Escalated,1,BR1024
CMP900220,CUST101605,01.03.2022,Mis-selling,Open,24,BR1010
CMP900458,CUST103001,03-Oct-2026,Online Banking,In Progress,10,BR1013
CMP900179,CUST102526,2021-07-24,Customer Service,Escalated,23,BR1022
CMP900283,CUST101849,04-07-2020,Account Closure,Open,35,BR1024
CMP900201,CUST102455,03.09.2019,Loan Issue,Escalated,22,BR1021
CMP900235,CUST101971,03-Jun-2023,Mis-selling,In Progress,45,BR1002
CMP900287,CUST101672,21/08/2025,,Escalated,9,BR1012
CMP900313,CUST102906,19-Mar-2019,,Open,36,BR1021
CMP900097,CUST100205,12/11/2026,Card Issue,Escalated,15,BR1023
CMP900045,CUST100483,2021-11-11,,In Progress,38,BR1005
CMP900611,CUST101366,04-26-2023,Online Banking,Resolved,43,BR1018
CMP900807,CUST102138,26-Aug-2025,,Open,18,BR1020
CMP900082,CUST102595,08-14-2025,Online Banking,Open,17,BR1012
CMP900522,CUST103063,2022-06-03,,In Progress,17,BR1016
CMP900296,CUST101520,2021-03-21,Customer Service,Escalated,5,BR1026
CMP900222,CUST100614,04-Dec-2019,Account Closure,Escalated,10,BR1023
CMP900134,CUST100695,02-19-2021,Fraud,Escalated,11,BR1019
CMP900423,CUST101829,30-Jul-2019,Loan Issue,Resolved,7,BR1017
CMP900614,CUST101832,2019-11-14,Loan Issue,Escalated,5,BR1015
CMP900518,CUST101526,02-Jul-2022,Fraud,Resolved,27,BR1014
CMP900720,CUST100734,26.11.2023,Card Issue,Escalated,40,BR1014
CMP900817,CUST100939,26/04/2020,Online Banking,In Progress,21,BR1025
CMP900647,CUST100660,11-30-2023,,Open,10,BR1009
CMP900840,CUST100842,2019-08-18,Fraud,In Progress,22,BR1008
CMP900563,CUST101117,07/07/2020,Loan Issue,In Progress,40,BR1014
CMP900504,CUST100895,01/12/2020,Fees & Charges,Escalated,8,BR1006
CMP900621,CUST103146,08-26-2019,Fraud,Open,13,BR1005
CMP900248,CUST101797,12-20-2022,Customer Service,In Progress,32,BR1022
CMP900385,CUST101095,2025-05-05,Account Closure,In Progress,7,BR1018
CMP900501,CUST100351,22.08.2024,,Open,28,BR1019
CMP900534,CUST100131,06.07.2024,Loan Issue,Escalated,23,BR1024
CMP900624,CUST101376,08-30-2021,Account Closure,In Progress,19,BR1015
CMP900860,CUST103078,2026-03-13,,Resolved,16,BR1014
CMP900625,CUST100747,22-Jul-2019,Account Closure,Open,36,BR1017
CMP900677,CUST100109,28/09/2023,Customer Service,Resolved,35,BR1026
CMP900565,CUST102552,2022-04-16,Card Issue,In Progress,27,BR1020
CMP900410,CUST101255,06-08-2026,Account Closure,Resolved,4,BR1024
CMP900485,CUST101740,11/07/2024,Fraud,Open,43,BR1015
CMP900143,CUST102274,11-12-2025,Fees & Charges,Resolved,-7,BR1017
CMP900616,CUST101227,05-05-2021,Card Issue,Open,23,BR1010
CMP900348,CUST100588,10-24-2025,Mis-selling,Escalated,23,BR1003
CMP900926,CUST101182,21.02.2019,Card Issue,In Progress,41,BR1027
CMP900780,CUST101430,2026-03-26,Online Banking,Resolved,34,BR1026
CMP900103,CUST101530,2023-10-05,Fraud,Open,2,BR1028
CMP900714,CUST102555,26/12/2025,Fees & Charges,Open,22,BR1006
CMP900649,CUST100970,10-21-2021,Loan Issue,Escalated,15,BR1021
CMP900446,CUST101628,10.02.2026,Fraud,Resolved,10,BR1016
CMP900177,CUST101559,15/05/2024,Fraud,Escalated,-8,BR1005
CMP900827,CUST103137,07-14-2026,Fraud,Open,11,BR1022
CMP900934,CUST101911,2022-03-05,Online Banking,In Progress,25,BR1014
CMP900538,CUST101699,28/01/2024,Card Issue,In Progress,3,BR1000
CMP900109,CUST101325,10.12.2023,Mis-selling,Escalated,45,BR1015
CMP900373,CUST103018,2020-08-30,,Resolved,12,BR1004
CMP900140,CUST100066,10.06.2022,Card Issue,Open,19,BR1001
CMP900212,CUST102301,18/05/2020,Fraud,Resolved,11,BR1010
CMP900174,CUST102049,04-24-2022,Online Banking,Open,26,BR1017
CMP900060,CUST101449,24.03.2025,Card Issue,In Progress,19,BR1005
CMP900689,CUST101025,16/04/2021,Loan Issue,In Progress,41,BR1003
CMP900754,CUST101226,25/07/2020,Loan Issue,Escalated,27,BR1030
CMP900481,CUST101803,20/11/2019,Fees & Charges,Resolved,9,BR1000
CMP900831,CUST100386,23/05/2023,Customer Service,Open,26,BR1029
CMP900112,CUST100588,17.05.2023,,Resolved,38,BR1019
CMP900694,CUST100760,07/04/2024,Customer Service,Open,7,BR1026
CMP900056,CUST101308,2020-08-01,Card Issue,Resolved,40,BR1012
CMP900557,CUST102282,06-Dec-2020,Online Banking,Resolved,16,BR1017
CMP900154,CUST101473,02.03.2023,Customer Service,In Progress,18,BR1029
CMP900192,CUST100664,30.11.2023,Account Closure,Escalated,9,BR1027
CMP900354,CUST100809,02.02.2023,Loan Issue,Open,14,BR1023
CMP900055,CUST101540,23-Apr-2021,Account Closure,Open,38,BR1027
CMP900674,CUST101485,2024-05-01,Fraud,Escalated,8,BR1009
CMP900775,CUST102102,24/05/2022,Customer Service,Escalated,7,BR1023
CMP900510,CUST101592,07/12/2019,Fraud,Escalated,43,BR1020
CMP900503,CUST103114,11-Feb-2023,Mis-selling,Open,32,BR1031
CMP900684,CUST102152,01/10/2024,Card Issue,In Progress,8,BR1015
CMP900311,CUST100791,06-10-2021,Account Closure,Escalated,45,BR1000
CMP900566,CUST100117,23/04/2020,Card Issue,Resolved,1,BR1004
CMP900135,CUST101608,26.03.2019,Loan Issue,Resolved,37,BR1011
CMP900010,CUST102621,03.11.2020,Mis-selling,Open,7,BR1006
CMP900867,CUST102968,05-Apr-2024,Card Issue,In Progress,19,BR1014
CMP900895,CUST101653,27/11/2020,,Resolved,21,BR1016
CMP900281,CUST102006,2019-12-26,Account Closure,Escalated,38,BR1007
CMP900364,CUST101913,2023-07-12,,Resolved,2,BR1018
CMP900276,CUST102801,2019-08-26,Loan Issue,Open,40,BR1029
CMP900655,CUST101846,29-Aug-2026,Fraud,In Progress,21,BR1026
CMP900491,CUST102923,2025-08-19,Mis-selling,Escalated,19,BR1026
CMP900555,CUST102627,04-11-2020,Loan Issue,In Progress,-6,BR1029
CMP900104,CUST103022,30.05.2023,Card Issue,Escalated,8,BR1001
CMP900573,CUST100843,30/04/2023,Fees & Charges,Open,11,BR1004
CMP900124,CUST102308,04/02/2020,Fraud,Resolved,13,BR1027
CMP900339,CUST102915,11/01/2023,Fees & Charges,Escalated,29,BR1000
CMP900372,CUST103028,24.05.2023,Online Banking,Escalated,11,BR1013
CMP900022,CUST101331,2022-12-26,Loan Issue,Open,2,BR1028
CMP900032,CUST100384,30/05/2024,Online Banking,In Progress,34,BR1015
CMP900084,CUST100909,17-Jul-2022,Fraud,Resolved,-8,BR1014
CMP900618,CUST100100,2021-02-09,,In Progress,5,BR1009
CMP900019,CUST103083,12-29-2024,Loan Issue,Open,25,BR1026
CMP900747,CUST101042,26/02/2023,Mis-selling,Resolved,35,BR1031
CMP900406,CUST101439,2024-11-03,Online Banking,Escalated,15,BR1023
CMP900285,CUST101647,11-20-2026,Account Closure,Resolved,9,BR1007
CMP900252,CUST102546,14.04.2019,Account Closure,In Progress,6,BR1012
CMP900111,CUST102014,22.05.2021,Mis-selling,Open,35,BR1030
CMP900197,CUST102596,02-03-2025,Fees & Charges,Resolved,26,BR1022
CMP900040,CUST101099,2022-09-30,Fees & Charges,In Progress,30,BR1001
CMP900267,CUST103123,29-Apr-2022,Loan Issue,Resolved,-9,BR1020
CMP900100,CUST100936,24.12.2022,Fraud,Escalated,43,BR1004
CMP900604,CUST100704,26-Jul-2022,Fraud,In Progress,40,BR1023
CMP900009,CUST100398,05-16-2024,Online Banking,Resolved,29,BR1021
CMP900167,CUST100823,2022-01-01,Card Issue,Resolved,27,BR1031
CMP900131,CUST103013,10/06/2020,Loan Issue,Open,39,BR1003
